"id","name"
1554087241462,TUNDURU
1554087241461,NAMTUMBO
1554087241460,NYASA
1554087241459,SONGEA
1554087241458,MBINGA
1730103333427,ITIGI
1635215514550,MKALAMA
1635215514519,IKUNGI
1553781100866,SINGIDA VIJIJINI
1553781100865,SINGIDA
1553781100864,MANYONI
1553781100863,IRAMBA
1554087241470,RUNGWE
1554087241468,MBEYA
1554087241467,MBEYA CBD
1554087241466,MBARALI
1554087241465,KYELA
1554087241464,ILEJE
1554087241463,CHUNYA
1570589548831,MKINGA
1570589548830,KILINDI
1554087241476,TANGA
1554087241475,PANGANI
1554087241474,MUHEZA
1554087241473,LUSHOTO
1554087241472,KOROGWE
1554087241471,HANDENI
1554087241485,NGORONGORO
1554087241484,MONDULI
1554087241483,ARUMERU
1554087241482,LONGIDO
1554087241481,KARATU
1554087241480,ARUSHA VIJIJINI
1554087241479,ARUSHA
1554087241492,UKEREWE
1554087241491,SENGEREMA
1554087241490,NYAMAGANA
1554087241489,MISUNGWI
1554087241488,MAGU
1554087241487,KWIMBA
1554087241486,ILEMELA
1554087241499,UYUI
1554087241498,URAMBO
1554087241497,TABORA CBD
1554087241496,SIKONGE
1554087241495,NZEGA
1554087241494,KALIUA
1554087241493,IGUNGA
1554087241507,NGARA
1554087241506,MULEBA
1554087241505,MISSENYI
1554087241504,KYERWA
1554087241503,KARAGWE
1554087241502,BUKOBA VIJIJINI
1554087241501,BUKOBA
1554087241500,BIHARAMULO
1694485869749,KAKONKO
1644375071664,BUHIGWE
1554087241514,KIGOMA CBD
1554087241513,UVINZA
1554087241512,KIGOMA
1554087241511,KIBONDO
1554087241510,KASULU
1554087241519,MEATU
1554087241518,MASWA
1554087241517,ITILIMA
1554087241516,BUSEGA
1554087241515,BARIADI
1554087241524,NYANG'HWALE
1554087241523,MBOGWE
1554087241522,GEITA
1554087241521,CHATO
1554087241520,BUKOMBE
1720594791771,KALAMBO
1554087241527,SUMBAWANGA VIJIJINI
1554087241526,SUMBAWANGA
1554087241525,NKASI
1554087241532,SIMANJIRO
1554087241531,MBULU
1554087241530,KITETO
1554087241529,HANANG'
1554087241528,BABATI
1595421746493,MAFINGA
1588584111755,KILOLO
1554087241535,MUFINDI
1554087241534,IRINGA VIJIJINI
1554087241533,IRINGA
1735825622854,KIBAHA CBD
1709520066477,CHALINZE
1554087241542,RUFIJI
1554087241541,MKURANGA
1554087241540,MAFIA
1554087241539,KISARAWE
1554087241538,KIBITI
1554087241537,KIBAHA
1554087241536,BAGAMOYO
1554087241550,WANGING'OMBE
1554087241549,NJOMBE VIJIJINI
1554087241548,NJOMBE
1554087241547,MAKETE
1554087241546,MAKAMBAKO
1554087241545,LUDEWA
1554087241558,MPWAPWA
1554087241557,KONGWA
1554087241556,KONDOA
1554087241555,DODOMA VIJIJINI
1554087241554,DODOMA
1554087241553,CHEMBA
1554087241552,CHAMWINO
1554087241551,BAHI
1729063028114,MSALALA
1729063028113,USHETU
1554087241562,SHINYANGA VIJIJINI
1554087241561,SHINYANGA
1554087241560,KISHAPU
1554087241559,KAHAMA
1554087241568,RUANGWA
1554087241567,NACHINGWEA
1554087241566,LIWALE
1554087241565,LINDI VIJIJINI
1554087241564,LINDI
1554087241563,KILWA
1729063028004,MALINYI
1582025888041,GAIRO
1554087241574,ULANGA
1554087241573,MVOMERO
1554087241572,MOROGORO VIJIJINI
1554087241571,MOROGORO
1554087241570,KILOSA
1554087241569,KILOMBERO
1578044087223,KIGAMBONI
1553781100985,TEMEKE
1553781100984,UBUNGO
1553781100983,KINONDONI
1553781100982,ILALA
1595421746470,BUTIAMA
1554087241580,TARIME
1554087241579,SERENGETI
1554087241578,RORYA
1554087241577,MUSOMA VIJIJINI
1554087241576,MUSOMA
1554087241575,BUNDA
1647657808968,SIHA
1554087241586,SAME
1554087241585,ROMBO
1554087241584,MWANGA
1554087241583,MOSHI VIJIJINI
1554087241582,MOSHI
1554087241581,HAI
1709520066494,NANYAMBA
1652149904008,MTWARA-MIKINDANI
1652149904007,MASASI TOWN COUNCIL
1554087241592,TANDAHIMBA
1554087241591,NEWALA
1554087241590,NANYUMBU
1554087241589,MTWARA VIJIJINI
1554087241588,MTWARA
1554087241587,MASASI
1731340749958,TANGANYIKA
1666753612484,NSIMBO
1666753612483,MPIMBWE
1666753612482,MPANDA CBD
1554087241594,MPANDA
1554087241593,MLELE
1595421746505,SONGWE
1595421746504,MOMBA
1595421746502,ILEJE
1554087241469,MBOZI
